300 41680
273 187 66
220 172 78
229 80 3
251 28 30
24 205 27
275 172 47
76 140 56
161 223 45
14 122 57
88 28 19
57 284 60
113 165 1
118 268 34
215 227 68
93 228 47
168 296 18
106 167 24
213 267 97
262 181 69
72 186 20
48 208 21
146 72 47
135 141 67
77 126 8
243 280 15
260 169 74
198 78 84
51 298 15
292 181 87
244 160 3
65 106 53
171 279 91
37 42 14
270 269 73
224 184 12
73 56 20
97 53 86
253 199 66
41 265 74
228 182 36
82 43 34
48 273 46
178 209 23
131 109 80
196 272 18
38 51 18
110 209 42
145 95 41
80 1 88
16 254 14
5 167 98
48 57 84
178 88 85
244 222 15
266 296 14
197 152 65
252 155 66
73 211 7
69 181 75
78 297 22
156 18 28
247 107 6
263 96 57
50 139 25
45 85 68
89 282 88
249 233 32
150 202 80
117 243 62
81 236 18
277 66 68
43 20 47
79 268 60
261 41 99
211 224 92
125 98 86
113 23 14
200 2 44
261 271 86
109 31 44
212 125 84
76 213 10
253 17 52
73 23 65
261 203 65
120 18 61
123 42 59
122 216 22
292 45 98
159 172 3
230 133 88
148 121 96
78 230 17
253 136 37
267 71 35
176 42 97
56 8 30
53 145 73
209 101 92
109 23 97
16 118 92
55 34 37
174 100 43
19 101 22
274 77 23
276 189 68
148 185 39
294 291 51
274 66 69
177 36 34
144 68 13
234 72 8
287 124 22
257 169 70
274 128 56
18 253 63
220 38 1
124 78 52
74 99 77
30 131 47
119 181 39
76 184 56
157 21 41
275 100 97
1 73 3
119 88 71
220 5 12
296 121 31
163 105 69
157 160 22
254 277 98
178 63 39
194 231 61
265 89 28
182 51 50
3 246 30
229 53 78
94 292 37
59 297 3
144 181 37
292 76 51
89 221 99
157 198 3
250 199 60
137 294 51
138 223 51
226 1 39
5 21 78
269 164 31
218 164 42
58 135 18
255 282 79
174 78 84
274 148 28
51 226 67
141 222 91
25 10 47
87 113 15
17 190 2
278 138 19
85 138 82
75 57 25
6 250 13
286 174 28
159 110 80
90 92 59
20 75 74
193 22 12
287 173 29
283 88 3
4 292 45
133 207 54
275 53 12
196 84 78
8 226 85
154 283 28
204 152 84
214 193 47
287 50 8
201 294 91
149 142 44
197 80 64
224 274 88
103 72 2
135 108 14
99 17 69
48 65 63
138 152 64
66 136 25
111 143 27
108 274 29
190 151 35
288 150 82
53 278 10
29 23 19
121 164 82
210 287 94
35 9 11
131 218 31
4 275 65
44 145 22
33 27 87
254 105 34
186 140 87
238 60 79
154 150 49
274 92 21
73 143 97
227 32 3
291 62 83
47 169 6
77 137 48
260 283 47
92 66 8
3 258 71
242 197 6
267 66 93
157 251 1
151 45 61
112 97 89
125 121 75
295 27 82
46 254 56
237 58 17
210 248 10
293 25 66
254 21 76
235 198 82
23 217 92
261 135 16
81 87 14
252 92 56
44 58 51
3 127 6
188 285 83
232 34 98
48 2 26
103 153 51
177 158 93
210 73 36
224 53 37
31 219 27
239 12 92
268 85 48
132 280 11
59 12 33
233 57 33
52 294 12
238 218 35
36 195 29
215 163 65
281 284 46
156 276 14
235 247 3
9 262 66
240 119 3
183 273 5
5 110 13
153 37 87
36 227 54
270 189 43
285 68 78
254 242 31
84 33 17
242 1 13
103 141 38
144 49 63
161 250 88
145 251 33
273 73 53
38 244 27
287 182 5
245 3 9
155 194 3
64 164 93
267 271 24
133 263 44
14 250 3
175 133 59
216 137 20
282 293 12
25 86 40
91 54 43
67 51 58
139 170 54
182 289 59
178 171 33
196 57 28
197 60 51
169 177 67
277 5 67
108 251 83
96 78 13
142 68 71
280 277 31
139 2 54
186 287 80
272 104 84
292 71 96
38 82 20
193 224 50
107 130 12
190 169 9
158 98 4
299 71 36
80 157 99
33 59 44
213 80 20
237 61 18
40 20 67
18 289 79
38 261 72
154 183 96
272 22 1
93 4 23
242 60 2
150 77 17
87 110 54
40 37 20
33 139 59
142 85 33
219 185 9
111 274 59
127 47 22
24 269 65
146 127 95
143 245 67
150 244 56
255 26 80
240 263 5
167 146 79
162 216 76
69 234 6
87 185 70
292 166 51
108 234 98
285 34 59
190 122 80
211 75 8
37 54 62
4 108 70
286 94 52
247 47 73
166 231 68
140 211 14
287 295 92
297 131 24
149 219 13
83 275 27
143 67 54
292 70 26
126 84 56
102 222 27
156 88 5
73 107 48
40 214 1
120 110 64
18 44 9
92 114 71
41 132 47
70 197 42
180 259 62
96 126 48
133 237 1
118 288 27
174 148 92
11 237 60
198 32 97
136 199 20
19 254 76
29 268 24
116 157 82
190 178 24
273 244 55
235 262 97
46 60 8
294 4 29
232 196 49
12 128 89
258 266 83
52 217 41
1 253 99
197 83 81
118 190 94
187 165 70
196 29 99
144 62 79
176 157 76
225 64 27
299 219 14
224 284 83
235 174 15
18 234 78
213 270 82
291 61 11
71 160 15
215 73 100
65 117 36
253 50 30
282 187 46
81 1 100
194 267 91
160 4 6
287 3 44
161 91 58
68 42 4
154 295 83
102 67 84
216 7 49
288 77 82
117 294 23
281 232 76
75 76 70
150 118 89
18 9 11
86 182 6
121 126 85
59 118 18
158 132 79
264 227 44
210 68 91
20 25 87
132 260 85
58 49 64
82 226 72
26 96 40
23 249 77
8 24 2
130 211 89
129 221 62
289 106 35
25 294 20
153 214 54
144 17 35
112 212 11
288 62 89
237 213 4
155 73 48
114 10 23
266 271 27
216 220 3
240 257 8
152 159 13
205 266 97
269 262 42
101 29 92
281 74 57
93 51 56
294 125 31
208 16 27
9 227 59
116 167 66
188 145 68
15 272 99
103 276 40
187 75 43
289 271 81
109 92 35
197 41 14
195 43 38
157 163 80
22 141 6
107 289 33
87 163 10
65 270 24
74 18 40
180 169 50
139 192 71
174 122 96
240 242 24
55 282 46
85 30 60
3 169 40
262 133 63
135 239 38
194 224 99
156 266 66
23 8 45
178 87 16
182 214 27
282 253 18
129 79 76
263 174 36
161 132 69
87 62 79
22 25 3
92 128 74
56 90 1
234 74 22
66 225 95
283 293 75
169 280 10
289 260 8
146 225 98
136 198 15
140 215 95
54 249 88
29 282 4
164 74 36
247 284 80
56 14 100
3 223 96
78 189 14
262 218 80
18 241 65
19 200 41
257 120 30
82 268 67
237 161 88
145 75 50
156 272 99
53 62 95
171 9 89
286 292 58
197 69 67
61 199 30
13 184 96
160 215 57
119 299 19
229 107 73
179 242 74
169 63 96
37 166 84
141 199 76
205 171 38
1 9 82
219 223 81
201 67 78
161 277 54
13 51 73
252 90 70
114 121 83
260 280 59
214 87 55
261 202 13
293 109 89
122 271 96
167 98 100
45 102 58
78 35 34
60 117 23
280 60 59
298 249 31
129 90 3
38 120 79
147 74 63
119 22 66
228 166 54
227 115 84
266 86 37
157 8 63
156 87 23
177 123 6
116 90 83
28 52 81
246 141 99
32 256 68
127 32 27
215 256 84
69 75 79
71 103 50
113 56 75
195 241 78
156 283 58
155 31 54
53 177 34
187 76 51
156 41 21
73 300 39
247 23 79
62 97 55
256 143 30
268 5 27
206 251 61
147 151 14
21 244 60
38 259 15
68 2 12
16 147 83
271 245 58
152 100 16
102 92 99
57 126 40
239 213 55
139 220 2
7 169 6
94 117 39
246 9 87
136 250 24
269 161 76
116 158 71
295 184 89
101 44 49
215 106 38
138 67 46
193 33 19
212 159 52
60 49 75
251 173 60
167 248 87
80 70 62
116 154 45
212 214 94
227 21 65
93 190 34
169 172 50
261 23 59
95 121 84
227 125 41
271 151 47
280 22 14
265 71 34
192 220 33
1 208 100
135 179 34
239 244 87
22 101 14
207 294 16
241 146 97
235 116 62
226 206 14
221 288 9
237 298 94
93 121 96
286 6 29
86 223 51
147 19 41
43 1 15
224 213 83
247 299 56
2 162 23
10 252 70
61 271 89
142 137 85
56 228 48
138 262 34
200 215 58
72 35 44
162 277 22
2 100 41
171 198 33
57 150 70
167 260 20
264 226 67
124 251 42
158 172 1
120 298 87
285 185 95
214 161 24
91 115 18
245 71 6
139 3 73
268 244 13
41 109 24
207 70 25
119 167 92
56 95 49
99 213 66
254 267 71
189 45 79
298 209 88
241 19 61
23 284 76
64 130 26
41 190 5
269 171 11
205 285 84
293 134 64
79 223 29
260 274 19
135 59 92
20 49 58
212 52 75
88 114 33
62 85 8
111 244 100
234 136 33
29 25 70
58 161 15
234 22 23
151 77 95
30 16 19
298 136 62
172 121 66
272 82 91
299 62 55
23 204 38
174 67 36
166 42 79
269 203 97
128 153 70
25 76 32
292 267 42
281 195 26
52 58 100
162 8 47
76 87 18
176 162 48
29 58 49
192 261 65
92 222 44
106 291 97
265 118 59
190 278 11
140 197 35
257 3 22
108 271 75
159 261 52
171 216 67
34 270 62
74 106 97
149 251 89
297 171 34
245 183 95
258 197 27
161 182 91
51 266 33
285 230 14
13 96 58
181 107 93
35 282 8
233 271 46
196 82 45
121 13 69
266 229 80
31 50 41
300 173 78
67 293 49
124 256 91
279 151 89
128 266 67
189 63 1
69 227 62
27 203 18
156 284 22
5 90 76
151 192 76
274 130 8
191 117 30
141 145 78
195 133 83
283 199 54
160 114 90
168 289 53
206 154 60
116 244 59
227 167 22
66 8 95
162 15 28
16 152 92
221 264 87
157 147 64
8 48 25
31 106 49
178 151 14
226 114 99
186 145 53
39 237 49
246 54 66
179 16 3
248 282 13
276 145 58
291 111 58
159 254 98
114 51 21
171 50 50
229 257 95
62 152 74
194 35 56
85 218 66
120 93 74
222 77 10
98 86 52
267 269 41
139 227 63
226 297 36
212 268 28
81 204 87
133 21 3
297 167 11
204 110 8
198 292 57
14 49 56
281 64 32
45 35 86
142 109 56
70 233 80
222 43 70
254 14 23
264 151 99
84 76 92
79 221 30
244 213 42
4 144 53
85 33 48
114 181 37
230 145 62
41 262 72
214 241 62
120 184 41
151 214 66
52 183 98
204 16 21
285 167 96
159 34 89
149 228 83
227 279 90
2 59 36
217 179 1
51 6 77
276 104 80
203 164 50
299 12 33
218 16 10
22 98 42
230 39 67
106 199 49
225 243 54
139 48 54
62 73 8
188 86 38
140 270 84
105 19 80
145 40 37
58 101 79
125 218 39
208 252 34
198 93 25
172 290 74
198 75 100
192 183 9
293 226 2
68 62 59
77 134 36
148 239 16
219 140 39
127 45 66
103 218 11
65 285 31
151 168 35
289 111 21
268 92 35
251 242 87
162 259 100
81 127 88
187 169 64
166 217 17
176 164 22
290 103 68
212 62 79
251 252 33
288 130 24
221 139 73
109 40 57
54 212 59
176 20 36
147 8 97
75 40 38
71 115 89
67 198 24
186 249 14
255 29 5
54 58 28
161 26 96
299 133 91
118 267 88
254 183 95
74 104 24
286 263 55
121 168 96
241 224 59
76 6 46
178 255 56
168 101 48
285 150 28
282 72 89
132 224 31
162 88 84
12 9 50
115 151 53
2 57 2
45 17 42
277 259 85
60 296 27
113 237 90
143 25 40
8 178 68
96 122 55
82 192 67
80 212 42
187 106 72
2 22 93
276 242 71
144 254 51
239 258 80
157 260 41
145 259 7
26 30 40
172 197 36
242 79 94
18 276 13
17 105 70
222 288 49
113 181 1
133 51 9
155 125 53
97 180 65
137 192 25
226 16 39
105 231 53
47 163 86
29 28 22
31 169 23
171 145 54
282 150 65
92 239 24
295 200 8
199 210 27
262 280 51
17 268 73
282 68 21
255 294 76
162 260 56
243 235 60
197 209 68
84 159 53
268 23 50
276 177 33
278 128 66
53 151 56
109 258 91
200 141 82
51 147 36
24 262 48
40 181 1
81 10 28
164 185 95
297 74 78
125 48 4
208 282 78
83 147 20
198 79 94
116 133 55
246 165 71
2 287 88
58 262 94
274 230 74
92 133 67
6 78 26
230 126 4
45 264 64
261 178 66
82 237 98
68 55 63
195 128 76
291 63 20
146 193 24
222 158 57
140 22 13
170 122 23
256 226 49
159 294 54
105 228 53
75 208 18
197 105 84
107 230 56
298 292 72
114 27 69
30 120 59
191 83 92
129 201 8
216 197 83
12 276 3
259 199 7
52 18 11
11 259 36
131 199 71
49 187 52
275 281 32
209 216 36
34 57 38
99 257 74
113 36 2
91 287 60
103 271 27
37 98 38
244 276 65
44 74 94
214 133 18
299 265 46
57 146 54
231 87 85
272 7 44
291 276 46
26 120 77
159 205 6
122 56 97
94 102 22
242 266 61
7 123 37
13 5 48
181 133 60
244 199 28
188 107 84
15 287 69
229 163 78
220 112 22
289 190 20
294 260 62
31 273 69
137 2 97
257 207 73
75 3 100
35 191 91
213 105 18
275 228 42
284 105 60
127 152 18
114 54 31
245 1 100
3 137 71
187 89 72
254 20 32
82 163 36
21 117 2
147 26 58
58 34 55
142 146 90
290 187 14
198 121 93
235 265 77
64 273 89
86 4 45
170 150 62
12 291 30
135 189 80
14 28 52
231 145 19
131 67 17
218 21 73
282 244 73
68 84 63
52 225 3
30 55 43
100 257 2
13 125 90
163 11 57
148 158 89
250 173 7
102 122 92
279 267 17
281 183 82
101 57 99
69 265 88
38 86 66
112 199 10
119 24 51
94 297 51
272 182 9
294 232 40
85 25 99
188 30 13
45 296 37
197 165 83
5 168 16
166 144 8
33 116 13
108 288 41
31 247 9
71 198 1
100 235 7
91 270 54
38 205 59
94 256 66
78 155 22
186 200 91
191 9 22
230 3 68
182 8 96
123 92 55
246 29 24
2 221 17
81 150 53
263 282 91
258 134 33
243 151 52
72 25 88
49 95 11
58 157 61
93 298 5
113 121 49
157 137 15
219 217 96
145 121 88
294 213 23
88 226 63
35 257 18
231 238 99
7 171 45
169 231 83
93 241 80
98 191 86
273 242 60
214 291 97
171 106 71
136 76 68
196 235 41
47 59 99
7 9 11
80 41 35
23 297 11
276 86 94
259 294 29
97 1 44
66 128 91
256 142 19
264 284 25
153 173 70
77 91 36
204 48 90
79 69 88
216 123 82
99 44 10
247 99 24
264 129 60
259 291 17
141 262 90
247 158 54
180 269 58
278 178 92
133 296 2
150 99 24
229 2 84
260 89 63
143 64 98
76 293 37
9 75 82
238 260 33
11 141 70
47 56 73
152 111 97
183 285 79
51 121 19
288 292 56
255 116 74
96 75 19
243 145 38
159 76 40
105 61 90
280 230 48
25 248 89
270 218 30
240 103 41
50 66 32
211 43 32
294 276 93
290 106 49
273 222 78
7 164 79
192 76 79
122 144 29
230 24 87
90 243 98
261 9 11
113 242 3
258 49 12
222 246 61
103 203 42
164 98 97
20 80 27
25 299 78
44 126 21
69 291 76
92 130 99
181 293 53
71 80 51
272 274 69
3 256 38
92 113 77
108 223 78
90 112 30
183 215 46
295 71 100
182 119 95
125 101 9
140 71 29
167 66 39
290 277 7
254 5 42
226 17 28
151 82 53
92 277 44
49 100 53
207 159 86
43 252 29
207 55 83
162 238 36
291 216 45
270 56 71
131 291 12
218 187 19
48 35 86
95 18 39
49 138 60
270 6 11
201 7 72
16 182 34
48 108 27
21 69 67
73 16 28
254 128 23
157 28 83
116 23 9
112 111 15
56 282 39
289 174 60
24 1 86
145 159 83
88 235 15
63 236 47
192 290 64
136 15 61
29 159 74
85 157 2
26 190 49
137 91 64
227 290 19
60 253 63
298 27 92
278 78 88
241 86 13
287 74 83
111 172 18
70 204 95
291 138 4
17 216 73
148 177 41
198 108 13
99 42 33
287 63 90
70 88 8
293 62 9
250 292 87
132 294 64
111 231 80
206 105 61
83 55 55
12 226 4
13 20 21
118 67 59
5 48 34
116 28 21
193 291 36
151 161 59
175 9 57
67 292 56
38 26 66
128 162 67
136 271 76
280 142 12
109 212 27
246 240 94
26 257 53
78 205 74
120 191 14
54 286 31
51 178 84
269 121 66
14 164 44
206 61 98
110 25 71
221 259 99
158 207 5
299 112 42
266 89 87
255 207 75
86 75 40
165 218 42
240 88 44
101 298 20
112 31 77
247 58 84
158 244 40
287 76 6
127 17 9
220 227 58
188 288 44
60 102 95
57 205 75
137 107 68
258 245 30
27 97 61
9 167 47
117 174 89
10 115 44
33 15 42
94 128 41
224 2 68
92 87 34
147 5 4
195 158 30
213 153 75
177 281 43
78 12 13
148 125 72
254 184 32
88 164 77
261 5 29
39 180 94
127 242 65
59 243 34
175 200 51
62 43 50
218 89 34
224 197 78
266 163 92
264 253 48
141 267 20
58 148 30
222 183 92
37 8 46
158 267 11
192 38 70
244 194 2
196 146 70
104 153 44
228 97 10
265 254 37
97 42 20
151 290 32
66 5 54
153 290 69
25 83 83
153 63 51
198 60 31
43 267 100
194 113 80
107 115 57
256 133 26
18 281 24
56 145 84
204 268 99
23 287 26
248 21 50
180 177 13
53 295 81
168 178 65
289 97 71
258 25 40
271 174 12
293 232 73
156 237 92
227 101 69
114 295 41
71 25 69
277 103 19
273 223 90
227 299 95
300 230 13
54 161 100
186 296 70
143 281 37
238 207 80
152 297 79
226 118 46
9 231 18
296 48 3
251 185 60
89 167 70
192 251 81
164 290 65
71 248 47
190 131 29
13 255 35
179 258 62
116 76 85
59 116 46
157 228 99
63 83 2
17 67 19
175 261 80
41 288 20
42 208 59
1 35 100
35 274 85
32 46 42
230 262 61
221 174 55
132 164 5
190 200 100
255 77 86
221 119 34
205 93 29
112 42 33
89 262 86
212 276 68
118 25 15
197 230 17
84 50 44
126 182 88
223 120 35
129 208 18
1 297 62
205 39 35
144 244 71
109 7 26
231 164 71
281 192 100
292 91 60
258 213 17
297 255 28
67 296 85
88 111 82
42 252 33
181 246 16
13 94 50
150 132 7
223 135 14
141 69 80
148 190 4
111 194 49
160 269 32
173 175 63
35 293 85
258 200 56
198 82 43
28 158 38
49 290 74
272 170 11
295 223 4
208 57 90
146 109 8
106 246 48
94 179 93
87 46 97
94 197 13
272 105 6
126 163 34
260 278 92
285 166 58
207 81 3
202 92 95
159 113 44
184 124 19
74 175 10
112 3 82
99 294 8
129 10 58
29 241 86
203 17 54
61 135 10
41 155 25
140 208 16
260 215 10
67 59 9
156 170 14
11 264 5
103 145 79
148 211 9
37 164 40
168 18 53
12 206 76
273 220 60
197 73 47
217 134 59
127 109 51
91 283 74
288 155 18
273 200 8
209 124 49
179 211 18
215 78 1
280 48 71
81 58 24
205 215 7
295 233 15
247 229 89
205 65 88
246 77 68
70 212 21
190 58 53
25 273 10
243 252 38
273 46 93
216 172 14
218 202 52
219 204 13
205 112 1
30 192 52
145 233 81
180 223 70
177 252 42
121 15 97
166 242 1
161 95 75
145 52 9
102 9 44
202 246 18
158 4 82
295 211 20
66 68 19
182 57 92
180 193 58
35 120 37
295 65 97
159 184 66
171 68 70
230 124 58
300 217 11
112 161 91
2 295 95
150 289 4
268 177 21
130 89 18
117 261 76
232 12 58
62 20 33
81 174 77
151 59 52
117 144 44
79 52 46
186 138 22
128 167 67
240 95 8
236 3 93
5 247 60
284 162 80
290 138 82
180 185 52
114 156 9
89 215 82
51 21 86
179 282 52
29 183 5
115 70 6
187 268 55
35 70 44
197 82 67
194 102 20
161 276 83
293 73 91
196 189 9
143 47 76
191 112 59
253 177 16
245 223 21
288 297 85
87 277 88
217 37 83
216 198 37
202 64 24
124 41 18
267 53 5
95 31 56
137 245 30
260 197 99
296 257 97
34 248 43
203 79 33
202 108 6
202 174 25
292 84 35
198 195 12
204 25 86
69 157 36
286 280 92
2 115 71
115 215 5
291 75 42
216 46 86
85 258 16
168 273 40
36 58 43
62 60 65
173 178 3
101 16 19
254 191 35
68 292 27
69 285 63
162 198 77
238 68 95
299 174 45
230 214 9
168 100 56
209 156 46
149 202 23
271 66 37
38 255 67
128 26 100
39 233 84
122 270 65
208 90 88
70 91 25
199 168 10
164 142 59
39 117 59
142 95 23
48 240 38
114 225 43
120 107 50
248 77 16
27 181 19
206 190 49
103 283 92
74 266 2
168 144 19
10 188 38
132 215 53
76 62 24
130 243 22
132 81 50
100 250 61
22 184 39
13 215 2
297 50 14
35 176 18
124 86 78
117 284 80
238 145 14
279 278 89
261 10 86
15 104 79
11 38 59
178 214 59
118 55 28
36 256 97
9 295 16
47 295 42
183 279 94
263 143 40
156 2 51
216 96 23
246 180 52
178 68 60
23 47 71
142 206 93
42 223 86
266 123 25
173 48 68
127 134 18
142 134 69
118 163 84
118 176 55
126 100 82
227 4 53
258 42 98
102 150 84
102 248 82
38 299 2
246 70 34
5 265 10
189 165 68
299 9 76
20 275 91
114 62 47
270 101 15
221 209 83
205 246 58
63 40 24
10 216 59
193 40 13
286 226 6
148 167 93
189 175 4
240 264 79
201 61 74
109 265 49
27 276 83
20 192 40
85 120 56
77 38 9
175 273 88
249 20 6
95 9 65
156 90 8
178 291 14
9 132 89
265 177 34
82 77 31
216 225 88
116 274 6
75 117 6
165 212 35
151 212 3
214 286 57
264 232 16
239 76 41
251 47 34
123 112 26
54 60 51
72 110 52
88 97 50
40 220 45
188 61 66
296 37 5
45 161 70
160 279 43
65 147 20
142 179 68
300 238 87
219 138 25
260 134 86
73 87 25
118 276 42
221 232 28
101 203 83
189 4 47
202 168 60
230 57 32
83 90 12
180 214 12
50 206 70
164 259 78
184 283 25
191 18 23
117 101 91
184 173 72
122 79 70
262 173 11
9 142 1
77 4 94
270 152 50
73 82 23
85 245 38
59 38 98
90 35 68
14 148 8
173 174 55
8 22 98
278 93 45
71 195 48
36 280 85
34 3 79
112 177 99
142 262 44
246 255 36
22 72 42
127 164 22
245 37 82
99 71 12
99 81 3
93 17 15
174 283 25
96 295 56
121 160 7
2 60 79
186 42 54
63 260 28
231 58 69
76 211 72
162 253 44
290 51 23
214 3 22
42 77 52
201 140 55
61 3 36
281 214 20
270 165 71
52 135 25
287 37 27
246 93 22
81 129 65
33 280 51
195 50 12
179 114 38
85 283 15
1 249 71
124 14 39
80 299 29
139 84 85
1 95 84
113 100 25
129 202 56
121 115 30
217 153 6
109 182 80
131 140 8
273 245 52
262 296 49
251 256 25
293 27 11
158 87 29
252 185 86
127 190 30
197 29 12
86 15 20
90 237 51
144 266 68
43 157 83
48 120 51
264 94 9
261 246 16
96 249 45
208 200 74
89 291 17
187 120 30
23 236 36
212 187 66
258 110 17
281 48 11
270 69 100
238 221 4
148 21 88
286 45 26
164 3 52
109 210 85
133 119 31
2 114 52
85 284 87
46 132 66
213 248 3
255 30 74
182 210 44
152 192 51
198 166 34
291 255 21
26 34 41
148 221 75
70 177 83
291 187 84
279 234 12
216 40 75
56 175 100
17 185 70
246 35 14
284 116 19
203 126 35
110 213 80
197 44 93
264 162 62
274 164 41
230 290 19
218 244 6
165 69 1
101 76 29
65 144 47
172 226 70
247 87 100
126 176 16
209 245 9
215 291 88
212 96 28
214 191 4
192 154 70
217 168 1
22 233 68
233 107 30
25 200 34
7 276 61
28 118 75
202 169 68
43 160 62
82 261 24
23 215 38
204 300 70
91 276 43
183 227 30
79 185 48
158 20 2
39 156 89
86 39 72
84 241 2
73 142 37
150 172 68
88 287 81
258 168 24
101 210 31
275 2 62
179 133 80
214 285 78
272 287 31
153 44 85
234 188 64
185 264 40
54 128 56
239 144 89
201 80 10
91 13 17
226 280 91
22 292 12
247 139 44
110 43 30
148 45 91
108 16 100
288 107 44
81 149 20
200 275 4
216 271 67
3 154 23
121 170 40
129 109 98
244 54 9
262 78 38
260 137 11
1 89 65
151 218 96
142 71 32
23 31 83
298 108 67
5 139 13
203 62 65
147 96 54
115 224 90
2 289 70
73 80 85
99 34 80
269 26 67
213 165 41
209 91 3
13 224 84
7 116 28
166 70 53
245 111 28
182 288 58
230 137 57
40 259 70
145 45 38
157 276 71
251 238 65
263 54 90
121 6 87
267 161 24
262 91 63
87 215 42
273 39 61
76 72 82
54 240 84
147 209 96
82 18 95
145 106 34
170 140 100
19 169 16
143 194 5
157 66 4
41 111 55
272 37 61
138 221 87
172 238 20
280 124 49
187 222 18
25 134 21
44 252 87
209 195 35
185 1 6
146 248 58
200 70 49
58 61 37
103 191 39
240 185 21
296 18 70
160 249 54
9 232 96
2 83 58
169 252 66
71 271 64
116 251 27
129 203 54
281 90 61
216 79 71
280 38 30
142 217 76
252 138 35
45 159 78
27 56 38
245 205 28
235 249 36
94 121 92
279 283 60
88 187 84
158 152 88
200 133 96
254 164 8
292 25 68
256 243 2
43 260 66
164 255 67
124 223 10
48 141 3
4 298 54
55 108 86
171 4 50
232 205 95
126 171 68
229 137 94
138 194 40
253 172 70
297 80 69
258 185 84
36 48 13
163 6 10
33 90 27
113 29 72
104 231 20
273 77 53
7 223 95
197 144 26
24 37 53
292 18 89
39 15 99
48 100 81
135 98 85
163 180 18
70 249 17
26 163 4
167 161 52
298 247 18
46 44 24
168 239 64
107 190 51
192 278 7
53 69 57
92 152 41
93 44 54
269 70 56
171 181 19
220 49 61
285 236 39
140 152 23
124 241 86
269 94 74
199 262 54
43 8 79
232 115 25
76 179 97
247 171 57
3 225 82
3 240 84
265 223 80
178 230 45
252 190 86
114 174 92
255 219 12
257 159 42
274 4 48
147 279 77
246 17 45
229 140 83
223 206 21
246 142 17
229 205 64
254 109 61
28 134 19
110 288 98
70 247 45
196 139 7
214 205 43
91 69 99
158 201 81
255 254 11
133 90 4
173 183 4
28 150 34
113 296 46
138 211 45
163 177 10
151 44 74
206 214 89
150 22 45
226 275 40
72 126 46
109 203 87
300 265 76
252 153 94
273 37 99
207 193 34
98 138 88
71 200 41
59 78 19
92 14 86
96 121 14
94 124 17
140 48 72
235 132 21
127 181 23
237 26 38
60 210 75
258 152 86
139 234 14
202 195 97
37 140 96
24 87 28
109 124 42
294 13 17
231 37 70
239 179 38
247 117 27
40 102 50
22 56 81
168 126 63
58 204 44
115 114 27
228 61 100
156 126 43
129 251 38
210 23 38
129 272 47
286 260 68
253 115 42
52 151 3
68 236 21
75 262 90
11 137 65
62 50 32
51 262 70
109 16 42
272 103 90
37 143 41
29 3 57
207 214 75
126 105 48
217 7 80
73 180 74
8 35 14
278 218 23
147 21 70
210 21 43
49 57 56
126 293 92
82 74 30
196 244 100
221 226 100
55 58 93
1 230 21
186 254 74
264 85 78
121 83 65
193 122 83
171 22 90
91 294 75
252 210 93
62 21 84
86 163 62
263 147 34
148 56 38
82 23 19
183 99 28
290 188 86
141 169 75
184 192 17
43 119 47
24 43 28
207 33 45
11 192 51
294 297 67
49 200 31
285 171 58
290 156 99
51 24 76
7 5 19
76 27 3
133 257 94
249 34 80
230 264 38
261 77 59
186 237 15
10 243 94
288 172 62
39 251 68
162 188 76
73 38 92
300 6 77
136 32 48
283 241 46
251 96 77
250 271 24
201 118 53
18 206 5
144 264 56
10 298 20
253 12 5
95 175 92
192 160 20
32 131 47
230 37 86
270 243 79
228 30 29
143 17 79
64 266 79
66 161 97
16 184 47
71 185 22
64 25 98
130 220 48
269 89 39
227 75 58
219 238 71
175 224 21
185 136 81
63 132 37
69 272 58
267 108 24
245 167 84
240 47 84
275 161 46
295 117 37
42 212 20
243 122 19
150 295 68
280 32 95
117 242 17
250 278 68
201 115 16
264 220 14
237 281 84
11 45 58
205 188 2
148 112 69
297 132 63
41 115 28
278 185 17
35 183 29
90 158 94
15 147 17
236 191 6
227 245 97
139 257 11
122 118 53
186 84 64
104 87 41
16 257 79
228 44 76
152 209 83
11 258 12
83 235 48
184 130 46
140 114 51
34 100 4
233 66 21
62 25 42
216 66 93
208 118 68
132 135 6
20 63 22
198 230 37
75 125 64
248 131 67
23 4 40
249 173 45
32 189 85
255 133 90
97 72 54
35 169 8
27 266 7
150 84 65
4 79 61
74 107 77
283 130 42
229 222 84
286 24 56
209 72 75
59 244 57
210 127 71
36 295 79
67 53 27
193 46 25
264 4 73
169 43 25
18 55 88
102 185 7
77 120 36
110 18 67
124 253 63
221 9 33
225 193 91
33 89 6
243 12 22
288 246 8
207 83 22
51 221 24
210 128 91
80 146 91
148 203 83
292 207 2
142 274 43
229 70 38
86 277 88
130 86 75
155 239 60
213 150 87
20 265 95
249 27 87
281 258 96
238 132 95
37 77 42
205 102 15
59 95 42
254 217 41
228 213 98
201 251 92
54 262 13
67 46 99
215 69 85
3 171 30
254 259 43
207 75 50
115 152 15
185 283 61
69 159 69
265 127 19
74 131 95
236 225 37
14 221 21
269 289 46
255 248 99
233 90 33
210 149 70
178 179 74
283 27 97
233 284 98
40 34 14
233 113 90
95 22 6
120 32 61
250 76 94
195 22 2
237 167 39
134 297 56
34 271 56
193 13 84
3 80 10
100 159 94
77 117 94
94 183 10
139 45 3
120 224 87
248 5 74
240 170 67
219 275 19
128 183 49
76 296 75
241 166 75
31 85 100
